# Logfile created on 2019-02-22 10:30:10 +0000 by logger.rb/61378
[2019-02-22T10:30:11+00:00] INFO: Started chef-zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2019-02-22T10:30:11+00:00] INFO: *** Chef 13.6.4 ***
[2019-02-22T10:30:11+00:00] INFO: Platform: x86_64-linux
[2019-02-22T10:30:11+00:00] INFO: Chef-client pid: 23
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-exporter-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-control-t.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-log-config.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-log-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-exporter-log-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/unicorn.rb.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-storage-check-log-config.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-control-h.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_monitor.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_shell.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/base_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-log-config.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/base_pg_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/account_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/pg_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/workhorse-config.toml.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_mattermost.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/logging.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_rails.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/pg_version.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_pages.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/prometheus.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/gitlab_rails.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/incoming_email.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/authorizer_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/storage_check.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_workhorse.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/metadata.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/geo_pg_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/resources/account.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/resources/storage_directory.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/postgresql.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/prometheus_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis_uri.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/config/gitlab.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/nginx.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/consul.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/registry.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/geo_primary.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/unicorn.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/certificate_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/attributes/default.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/resources/env_dir.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/resources/templatesymlink.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/resources/sysctl.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/postgres.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/geo_secondary.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/application.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/redis_sentinel.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/config/services.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/formatters/gitlab.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/deprecations.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/pgbouncer.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/logging_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/secrets_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/default.rb in the cache.
